index,fullpathname,classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,pred_label
5,\wallet\src\de\schildbach\wallet\Constants.Files.java,Files,51,12,0,0,0,False,False,1,False,False,0,0,4,2,True,False,True,True,False,public,0,0,0,False,Information Holder
6,\wallet\src\de\schildbach\wallet\Configuration.java,Configuration,237,29,36,4,20,False,False,1,False,False,7,12,14,18,False,False,False,True,False,public,35,1,0,False,Information Holder
7,\wallet\src\de\schildbach\wallet\Constants.java,Constants,125,50,0,0,0,False,False,1,False,False,0,0,15,9,False,False,False,True,False,public,0,0,0,False,Information Holder
8,\wallet\src\de\schildbach\wallet\WalletBalanceWidgetProvider.java,WalletBalanceWidgetProvider,155,1,6,0,1,False,False,4,True,False,6,20,30,16,False,False,False,True,False,public,3,3,0,False,Interfacer
9,\wallet\src\de\schildbach\wallet\WalletApplication.java,WalletApplication,393,13,27,0,2,False,False,2,False,False,14,8,45,64,False,False,False,True,False,public,20,7,0,False,Interfacer
10,\wallet\src\de\schildbach\wallet\util\Base43.java,Base43,125,2,5,0,0,False,False,1,False,False,6,9,1,5,False,False,False,True,False,public,2,3,0,False,Service Provider
11,\wallet\src\de\schildbach\wallet\util\BitmapFragment.java,BitmapFragment,68,3,4,0,0,False,False,2,False,False,0,5,10,2,False,False,False,True,False,public,3,1,0,False,Coordinator
12,\wallet\src\de\schildbach\wallet\util\Bluetooth.java,Bluetooth,95,7,7,0,3,False,False,1,False,False,9,7,4,5,False,False,False,True,False,public,7,0,0,False,Information Holder
13,\wallet\src\de\schildbach\wallet\util\CheatSheet.java,CheatSheet,138,1,5,3,0,False,False,2,False,False,2,8,6,12,False,False,False,True,False,public,4,1,0,False,Service Provider
14,\wallet\src\de\schildbach\wallet\util\CircularProgressView.java,CircularProgressView,125,9,10,5,1,False,False,3,False,False,3,15,10,4,False,False,False,True,False,public,6,1,3,False,Interfacer
15,\wallet\src\de\schildbach\wallet\util\CrashReporter.ExceptionHandler.java,ExceptionHandler,47,1,2,0,0,False,False,2,True,False,0,3,5,1,True,False,True,True,False,private,1,1,0,False,Service Provider
16,\wallet\src\de\schildbach\wallet\util\CrashReporter.java,CrashReporter,264,6,13,0,0,False,False,2,True,False,7,18,37,43,False,False,False,True,False,public,9,4,0,False,Service Provider
17,\wallet\src\de\schildbach\wallet\util\Crypto.java,Crypto,264,12,8,0,1,False,False,1,False,False,4,16,20,6,False,False,False,True,False,public,4,4,0,False,Service Provider
18,\wallet\src\de\schildbach\wallet\util\FileAttachmentProvider.java,FileAttachmentProvider,91,0,8,0,1,False,False,3,True,False,5,19,10,10,False,False,False,True,False,public,8,0,0,False,Service Provider
19,\wallet\src\de\schildbach\wallet\util\Formats.java,Formats,48,5,1,0,0,False,False,1,False,False,2,1,4,2,False,False,False,True,False,public,1,0,0,False,Service Provider
20,\wallet\src\de\schildbach\wallet\util\GenericUtils.java,GenericUtils,34,0,2,0,0,False,False,2,False,False,0,3,1,2,False,False,False,True,False,public,2,0,0,False,Service Provider
21,\wallet\src\de\schildbach\wallet\util\HttpGetThread.java,HttpGetThread,63,3,1,0,0,False,False,3,False,False,2,0,9,8,False,False,False,True,False,public,1,0,0,True,Coordinator
22,\wallet\src\de\schildbach\wallet\util\Io.java,Io,52,0,3,0,0,False,False,1,False,False,1,7,4,0,False,False,False,True,False,public,3,0,0,False,Service Provider
23,\wallet\src\de\schildbach\wallet\util\Iso8601Format.java,Iso8601Format,58,1,8,0,0,False,False,2,False,False,0,4,6,0,False,False,False,True,False,public,8,0,0,False,Service Provider
24,\wallet\src\de\schildbach\wallet\util\MonetarySpannable.java,MonetarySpannable,95,4,3,0,0,False,False,2,False,False,12,9,11,2,False,False,False,True,False,public,2,1,0,False,Service Provider
25,\wallet\src\de\schildbach\wallet\util\Nfc.java,Nfc,41,0,2,0,0,False,False,1,False,False,1,4,5,3,False,False,False,True,False,public,2,0,0,False,Service Provider
26,\wallet\src\de\schildbach\wallet\util\Qr.java,Qr,101,2,5,0,0,False,False,1,False,False,1,6,17,8,False,False,False,True,False,public,5,0,0,False,Service Provider
27,\wallet\src\de\schildbach\wallet\util\ThrottlingWalletChangeListener.java,ThrottlingWalletChangeListener,103,9,6,0,0,False,False,4,True,False,6,12,11,3,False,False,False,True,False,public,6,0,0,True,Service Provider
28,\wallet\src\de\schildbach\wallet\util\Toast.java,Toast,45,1,6,0,0,False,False,1,False,False,0,11,1,1,False,False,False,True,False,public,4,2,0,False,Service Provider
29,\wallet\src\de\schildbach\wallet\util\ViewPagerTabs.java,ViewPagerTabs,155,6,9,0,1,False,False,3,False,False,4,10,14,10,False,False,False,True,False,public,6,0,3,False,Interfacer
30,\wallet\src\de\schildbach\wallet\util\WholeStringBuilder.java,WholeStringBuilder,32,0,1,0,0,False,False,3,True,False,0,1,3,1,False,False,False,True,False,public,1,0,0,False,Service Provider
31,\wallet\src\de\schildbach\wallet\util\WalletUtils.java,WalletUtils,276,2,16,0,2,False,False,2,False,False,13,35,38,33,False,False,False,True,False,public,16,0,0,False,Service Provider
32,\wallet\src\de\schildbach\wallet\ui\AbstractBindServiceActivity.java,AbstractBindServiceActivity,55,2,3,0,1,False,False,4,False,False,0,0,8,3,False,False,False,True,False,public,0,0,3,True,Information Holder
33,\wallet\src\de\schildbach\wallet\ui\AbstractWalletActivity.java,AbstractWalletActivity,42,2,2,0,1,False,False,3,False,False,1,1,8,0,False,False,False,True,False,public,0,0,2,True,Service Provider
34,\wallet\src\de\schildbach\wallet\ui\AddressAndLabel.java,AddressAndLabel,77,3,4,0,0,False,False,3,False,False,2,3,9,5,False,False,False,True,False,public,4,0,0,False,Coordinator
35,\wallet\src\de\schildbach\wallet\ui\AddressBookActivity.TwoFragmentAdapter.java,TwoFragmentAdapter,86,5,6,1,1,False,False,3,True,False,6,11,6,5,True,False,True,True,False,private,6,0,0,False,Information Holder
36,\wallet\src\de\schildbach\wallet\ui\AddressBookActivity.java,AddressBookActivity,108,4,4,0,0,False,False,3,False,False,5,3,18,11,False,False,False,True,False,public,2,0,1,False,Interfacer
37,\wallet\src\de\schildbach\wallet\ui\ArchiveBackupDialogFragment.java,ArchiveBackupDialogFragment,98,4,5,0,0,False,False,4,False,False,1,6,16,7,False,False,False,True,False,public,3,2,0,False,Interfacer
38,\wallet\src\de\schildbach\wallet\ui\BlockListAdapter.BlockViewHolder.java,BlockViewHolder,45,7,0,0,0,False,False,3,True,False,0,0,6,0,True,False,True,True,False,public,0,0,0,False,Information Holder
39,\wallet\src\de\schildbach\wallet\ui\BlockListAdapter.OnClickListener.java,OnClickListener,25,0,0,0,0,False,False,3,True,False,0,0,2,0,False,True,True,False,False,public,0,0,0,False,Service Provider
40,\wallet\src\de\schildbach\wallet\ui\BackupWalletDialogFragment.java,BackupWalletDialogFragment,231,12,9,0,0,False,False,4,False,False,6,5,40,33,False,False,False,True,False,public,4,5,0,False,Interfacer
41,\wallet\src\de\schildbach\wallet\ui\BlockListFragment.BlockLoader.java,BlockLoader,65,3,3,0,0,False,False,2,True,False,0,0,10,4,True,False,True,True,False,private,1,0,2,False,Service Provider
42,\wallet\src\de\schildbach\wallet\ui\BlockListAdapter.java,BlockListAdapter,195,11,13,1,3,False,True,3,True,False,9,13,25,20,False,False,False,True,False,public,13,0,0,False,Structurer
43,\wallet\src\de\schildbach\wallet\ui\BlockListFragment.TransactionsLoader.java,TransactionsLoader,48,1,1,0,0,False,False,2,True,False,1,0,9,3,True,False,True,True,False,private,1,0,0,False,Service Provider
44,\wallet\src\de\schildbach\wallet\ui\CurrencyAmountView.Listener.java,Listener,24,0,0,0,0,False,False,1,True,False,0,0,0,0,True,True,True,False,False,public,0,0,0,False,Service Provider
45,\wallet\src\de\schildbach\wallet\ui\BlockListFragment.java,BlockListFragment,197,18,8,0,0,False,False,3,False,False,3,8,35,22,False,False,False,True,False,public,8,0,0,False,Interfacer
46,\wallet\src\de\schildbach\wallet\ui\CurrencyAmountView.TextViewListener.java,TextViewListener,62,1,5,1,0,False,False,3,True,False,5,12,5,3,False,False,True,True,False,private,5,0,0,False,Service Provider
47,\wallet\src\de\schildbach\wallet\ui\CurrencyAmountView.java,CurrencyAmountView,256,15,21,13,2,False,False,3,False,False,12,18,23,24,False,False,False,True,False,public,15,3,3,False,Interfacer
48,\wallet\src\de\schildbach\wallet\ui\CurrencyCalculatorLink.java,CurrencyCalculatorLink,170,8,13,6,3,False,False,3,False,False,15,6,7,15,False,False,False,True,False,public,12,1,0,False,Information Holder
49,\wallet\src\de\schildbach\wallet\ui\CurrencySymbolDrawable.java,CurrencySymbolDrawable,55,3,5,2,2,False,False,3,False,False,0,3,5,0,False,False,False,True,False,public,5,0,0,False,Information Holder
50,\wallet\src\de\schildbach\wallet\ui\CurrencyTextView.java,CurrencyTextView,100,7,9,7,0,False,False,3,False,False,3,7,12,1,False,False,False,True,False,public,7,1,1,False,Interfacer
51,\wallet\src\de\schildbach\wallet\ui\DialogBuilder.java,DialogBuilder,97,3,8,6,0,False,False,2,True,False,4,9,11,0,False,False,False,True,False,public,8,0,0,False,Service Provider
52,\wallet\src\de\schildbach\wallet\ui\DividerItemDecoration.java,DividerItemDecoration,82,5,5,1,1,False,False,3,False,False,3,10,8,15,False,False,False,True,False,public,5,0,0,False,Interfacer
53,\wallet\src\de\schildbach\wallet\ui\EncryptKeysDialogFragment.State.java,State,23,3,0,0,0,False,False,1,False,False,0,0,0,0,False,False,True,False,True,private,0,0,0,False,Information Holder
54,\wallet\src\de\schildbach\wallet\ui\EditAddressBookEntryFragment.java,EditAddressBookEntryFragment,129,6,6,0,0,False,False,5,False,False,5,11,20,13,False,False,False,True,False,public,5,1,0,False,Interfacer
55,\wallet\src\de\schildbach\wallet\ui\ExchangeRatesActivity.java,ExchangeRatesActivity,39,0,2,0,0,False,False,3,False,False,1,2,3,1,False,False,False,True,False,public,1,0,1,False,Service Provider
56,\wallet\src\de\schildbach\wallet\ui\ExchangeRatesFragment.ExchangeRateViewHolder.java,ExchangeRateViewHolder,40,5,0,0,0,False,False,4,True,False,0,0,5,0,False,False,True,True,False,private,0,0,0,False,Information Holder
57,\wallet\src\de\schildbach\wallet\ui\EncryptKeysDialogFragment.java,EncryptKeysDialogFragment,279,18,10,0,0,False,False,4,False,False,9,5,31,35,False,False,False,True,False,public,7,3,0,False,Interfacer
58,\wallet\src\de\schildbach\wallet\ui\ExchangeRatesFragment.ExchangeRatesAdapter.java,ExchangeRatesAdapter,134,6,10,5,3,False,False,3,True,False,4,10,16,11,False,False,True,True,False,private,10,0,0,False,Structurer
59,\wallet\src\de\schildbach\wallet\ui\FancyListFragment.java,FancyListFragment,39,0,2,1,0,False,False,3,False,False,0,4,7,0,False,False,False,True,False,public,2,0,0,False,Interfacer
60,\wallet\src\de\schildbach\wallet\ui\ExchangeRatesFragment.java,ExchangeRatesFragment,210,17,8,0,0,False,False,3,False,False,6,9,33,25,False,False,False,True,False,public,8,0,0,False,Interfacer
61,\wallet\src\de\schildbach\wallet\ui\FileAdapter.java,FileAdapter,52,2,2,1,1,False,False,2,True,False,1,4,9,1,False,False,False,True,False,public,2,0,0,True,Structurer
62,\wallet\src\de\schildbach\wallet\ui\HelpDialogFragment.java,HelpDialogFragment,56,3,4,0,0,False,False,3,False,False,0,5,6,2,False,False,False,True,False,public,3,1,0,False,Coordinator
63,\wallet\src\de\schildbach\wallet\ui\ImportDialogButtonEnablerListener.java,ImportDialogButtonEnablerListener,69,2,8,0,0,False,False,5,True,False,0,14,9,1,False,False,False,True,False,public,6,0,2,False,Service Provider
64,\wallet\src\de\schildbach\wallet\ui\InputParser.BinaryInputParser.java,BinaryInputParser,62,2,2,0,0,False,False,3,True,False,1,1,6,3,True,False,True,True,False,public,1,0,1,True,Service Provider
65,\wallet\src\de\schildbach\wallet\ui\InputParser.StreamInputParser.java,StreamInputParser,75,2,2,0,0,False,False,3,True,False,2,1,9,8,True,False,True,True,False,public,1,0,1,True,Service Provider
66,\wallet\src\de\schildbach\wallet\ui\InputParser.StringInputParser.java,StringInputParser,116,1,2,0,0,False,False,3,True,False,2,1,15,13,True,False,True,True,False,public,1,0,1,True,Service Provider
67,\wallet\src\de\schildbach\wallet\ui\InputParser.java,InputParser,133,6,4,0,0,False,False,2,True,False,6,8,27,16,False,False,False,True,False,public,1,0,3,True,Service Provider
68,\wallet\src\de\schildbach\wallet\ui\MaybeMaintenanceFragment.java,MaybeMaintenanceFragment,94,5,6,0,0,False,False,3,False,False,2,3,18,9,False,False,False,True,False,public,5,1,0,False,Interfacer
69,\wallet\src\de\schildbach\wallet\ui\NetworkMonitorActivity.PagerAdapter.java,PagerAdapter,39,0,2,0,2,False,False,2,True,False,1,1,3,0,False,False,True,True,False,private,2,0,0,False,Information Holder
70,\wallet\src\de\schildbach\wallet\ui\NetworkMonitorActivity.java,NetworkMonitorActivity,60,2,2,0,0,False,False,3,False,False,2,2,6,1,False,False,False,True,False,public,1,0,1,False,Coordinator
71,\wallet\src\de\schildbach\wallet\ui\PeerListFragment.PeerLoader.java,PeerLoader,64,3,3,0,0,False,False,2,True,False,0,0,10,5,True,False,True,True,False,private,1,0,2,False,Service Provider
72,\wallet\src\de\schildbach\wallet\ui\PeerListFragment.PeerViewAdapter.java,PeerViewAdapter,81,2,7,0,3,False,False,3,True,False,0,7,10,10,False,False,True,True,False,private,7,0,0,False,Information Holder
73,\wallet\src\de\schildbach\wallet\ui\PeerListFragment.PeerViewHolder.java,PeerViewHolder,39,5,0,0,0,False,False,3,True,False,0,0,4,0,True,False,True,True,False,private,0,0,0,False,Information Holder
74,\wallet\src\de\schildbach\wallet\ui\PeerListFragment.ReverseDnsLoader.java,ReverseDnsLoader,34,1,1,0,0,False,False,3,True,False,0,0,3,1,True,False,True,True,False,private,1,0,0,False,Information Holder
75,\wallet\src\de\schildbach\wallet\ui\PeerListFragment.java,PeerListFragment,176,15,7,0,0,False,False,3,False,False,3,6,29,15,False,False,False,True,False,public,7,0,0,False,Interfacer
76,\wallet\src\de\schildbach\wallet\ui\ProgressDialogFragment.java,ProgressDialogFragment,62,3,6,0,0,False,False,3,False,False,0,7,6,2,False,False,False,True,False,public,5,1,0,False,Coordinator
77,\wallet\src\de\schildbach\wallet\ui\RequestCoinsActivity.java,RequestCoinsActivity,53,0,4,0,0,False,False,3,False,False,1,3,5,2,False,False,False,True,False,public,3,0,1,False,Service Provider
78,\wallet\src\de\schildbach\wallet\ui\ReportIssueDialogBuilder.java,ReportIssueDialogBuilder,203,7,2,0,0,False,False,4,True,False,10,5,29,25,False,False,False,True,False,public,1,1,0,True,Service Provider
79,\wallet\src\de\schildbach\wallet\ui\RestoreWalletActivity.FinishListener.java,FinishListener,31,0,2,0,0,False,False,2,True,False,0,3,1,0,False,False,True,True,False,private,2,0,0,False,Service Provider
80,\wallet\src\de\schildbach\wallet\ui\RequestCoinsFragment.java,RequestCoinsFragment,363,21,22,0,0,False,False,3,False,False,16,19,59,41,False,False,False,True,False,public,12,10,0,False,Interfacer
81,\wallet\src\de\schildbach\wallet\ui\ScanActivity.AutoFocusRunnable.java,AutoFocusRunnable,42,2,1,0,0,False,False,3,False,False,0,0,1,1,False,False,True,True,False,private,1,0,0,False,Service Provider
82,\wallet\src\de\schildbach\wallet\ui\RestoreWalletActivity.java,RestoreWalletActivity,176,7,7,0,0,False,False,3,False,False,2,8,27,18,False,False,False,True,False,public,0,4,3,False,Interfacer
83,\wallet\src\de\schildbach\wallet\ui\ScanActivity.WarnDialogFragment.java,WarnDialogFragment,52,0,3,0,0,False,False,3,False,False,0,4,5,5,True,False,True,True,False,public,3,0,0,False,Service Provider
84,\wallet\src\de\schildbach\wallet\ui\ScanActivity.java,ScanActivity,290,15,15,0,0,False,False,2,False,False,7,15,40,23,False,False,False,True,False,public,10,2,3,False,Interfacer
85,\wallet\src\de\schildbach\wallet\ui\ScannerView.java,ScannerView,127,13,4,2,0,False,False,2,False,False,3,8,16,12,False,False,False,True,False,public,4,0,0,False,Interfacer
86,\wallet\src\de\schildbach\wallet\ui\SendCoinsQrActivity.java,SendCoinsQrActivity,78,1,2,0,0,False,False,4,False,False,2,4,13,5,False,False,False,True,False,public,1,0,1,False,Interfacer
87,\wallet\src\de\schildbach\wallet\ui\ShowPasswordCheckListener.java,ShowPasswordCheckListener,37,1,1,0,0,False,False,4,True,False,0,2,5,1,False,False,False,True,False,public,1,0,0,False,Service Provider
88,\wallet\src\de\schildbach\wallet\ui\TransactionsAdapter.OnClickListener.java,OnClickListener,26,0,0,0,0,False,False,3,True,False,0,0,2,0,False,True,True,False,False,public,0,0,0,False,Service Provider
